index,distance,x,y,z
338,1690.000000,527.073964242,72.517995078,180.492588812
339,1695.000000,522.602729460,74.755823747,180.505773144
340,1700.000000,518.129554735,76.989771208,180.519434127
341,1705.000000,513.655389252,79.221716487,180.533113630
342,1710.000000,509.166063877,81.423025807,180.547076508
343,1715.000000,504.676738503,83.624335127,180.561039386
344,1720.000000,500.151746192,85.751037931,180.575148241
345,1725.000000,495.619552420,87.862677040,180.589286570
346,1730.000000,491.060306059,89.914640166,180.603509741
347,1735.000000,486.485194856,91.931606641,180.617782666
348,1740.000000,481.891004800,93.904019066,180.632024786
349,1745.000000,477.274039997,95.823246570,180.646230132
350,1750.000000,472.644609696,97.711544168,180.660487092
351,1755.000000,467.987110770,99.530196736,180.674860270
352,1760.000000,463.322397598,101.329752024,180.689257033
353,1765.000000,458.625754607,103.044783901,180.703758184
354,1770.000000,453.925916446,104.750749105,180.718250931
355,1775.000000,449.191713086,106.359199017,180.732653293
356,1780.000000,444.457205297,107.966717860,180.747056951
357,1785.000000,439.687260259,109.465855112,180.761611466
358,1790.000000,434.917315222,110.964992365,180.776165980
359,1795.000000,430.115145654,112.357237334,180.790860860
360,1800.000000,425.311410792,113.744290047,180.805562558
361,1805.000000,420.478590345,115.025922240,180.820296708
362,1810.000000,415.643220270,116.298313316,180.835033703
363,1815.000000,410.781312806,117.464666117,180.849712184
364,1820.000000,405.916603541,118.619823462,180.864384488
365,1825.000000,401.027489001,119.666283814,180.879170068
366,1830.000000,396.135894466,120.701698683,180.893967159
367,1835.000000,391.221802779,121.623894190,180.908872637
368,1840.000000,386.305961666,122.537285525,180.923786544
369,1845.000000,381.369475056,123.331210409,180.938806497
370,1850.000000,376.431956859,124.118912063,180.953831838
371,1855.000000,371.476210278,124.782498560,180.968957394
372,1860.000000,366.519283732,125.436320257,180.984090040
373,1865.000000,361.548118509,125.972309750,180.999308232
374,1870.000000,356.575102385,126.488759251,181.014519736
375,1875.000000,351.591712451,126.895692316,181.029693755
376,1880.000000,346.606208705,127.271779418,181.044839478
377,1885.000000,341.613891056,127.548434171,181.059893994
378,1890.000000,336.619736590,127.781609389,181.074968489
379,1895.000000,331.621874003,127.927009210,181.090083317
380,1900.000000,326.623103013,128.015244750,181.105220579
381,1905.000000,321.623144209,128.028733340,181.120387175
382,1910.000000,316.623941300,127.970500575,181.135576185
383,1915.000000,311.625377325,127.851643926,181.150784141
384,1920.000000,306.630031545,127.645924803,181.166012251
385,1925.000000,301.636376032,127.394583604,181.181250946
386,1930.000000,296.649232755,127.040910713,181.196505118
387,1935.000000,291.664000090,126.657214945,181.211763832
388,1940.000000,286.689410114,126.155668026,181.226936569
389,1945.000000,281.716312856,125.638147132,181.242095867
390,1950.000000,276.758358526,124.991257955,181.257037634
391,1955.000000,271.802938745,124.326753227,181.271977643
392,1960.000000,266.863723859,123.549621677,181.286906409
393,1965.000000,261.930119197,122.739639964,181.301829477
394,1970.000000,257.012941819,121.833469767,181.316735857
395,1975.000000,252.105129739,120.879945029,181.331630443
396,1980.000000,247.213190593,119.846160650,181.346505038
397,1985.000000,242.334937214,118.751507210,181.361359378
398,1990.000000,237.471300715,117.591843467,181.376192085
399,1995.000000,232.626116789,116.358951746,181.390994682
400,2000.000000,227.793719030,115.075318852,181.405776416
